day,insurance,visitId,lengthPagecount,discount,whoweare,catalog,hour,application,lengthSeconds,howtojoin,referrerType
Sunday,FALSE,1186,2,FALSE,FALSE,FALSE,23,FALSE,300,FALSE,Fulltext
Sunday,FALSE,1187,12,FALSE,FALSE,FALSE,23,FALSE,240,FALSE,NA
Monday,FALSE,1189,7,FALSE,FALSE,TRUE,0,FALSE,540,FALSE,NA
Monday,FALSE,1190,2,FALSE,FALSE,FALSE,0,FALSE,180,FALSE,Fulltext
Monday,FALSE,1192,8,TRUE,FALSE,FALSE,1,FALSE,300,FALSE,Catalogue
Monday,FALSE,1203,2,FALSE,FALSE,FALSE,7,FALSE,120,FALSE,Fulltext
Monday,FALSE,1204,6,FALSE,TRUE,FALSE,7,FALSE,120,FALSE,Fulltext
Monday,FALSE,1207,4,FALSE,FALSE,TRUE,7,FALSE,120,FALSE,Partners
Monday,FALSE,1210,5,FALSE,FALSE,FALSE,8,FALSE,420,FALSE,OwnWebs
Monday,FALSE,1212,3,FALSE,FALSE,FALSE,8,FALSE,120,FALSE,Catalogue
Monday,FALSE,1216,11,TRUE,FALSE,FALSE,9,FALSE,1200,TRUE,Fulltext
Monday,FALSE,1218,3,FALSE,FALSE,FALSE,8,FALSE,120,FALSE,Fulltext
Monday,FALSE,1219,4,FALSE,FALSE,FALSE,8,FALSE,120,FALSE,Fulltext
Monday,FALSE,1228,3,FALSE,FALSE,FALSE,9,FALSE,240,FALSE,Fulltext
Monday,FALSE,1230,4,FALSE,FALSE,FALSE,9,FALSE,240,FALSE,Fulltext
Monday,FALSE,1238,5,FALSE,FALSE,FALSE,9,FALSE,300,FALSE,NA
Monday,FALSE,1253,5,FALSE,FALSE,FALSE,9,FALSE,180,FALSE,OwnWebs
Monday,FALSE,1256,5,FALSE,FALSE,FALSE,10,FALSE,120,FALSE,NA
Monday,FALSE,1257,3,FALSE,FALSE,FALSE,10,FALSE,180,FALSE,Fulltext
Monday,FALSE,1258,3,FALSE,FALSE,FALSE,10,FALSE,120,FALSE,OwnWebs
Monday,FALSE,1259,7,FALSE,FALSE,TRUE,10,TRUE,300,FALSE,Fulltext
Monday,FALSE,1260,5,FALSE,FALSE,FALSE,10,FALSE,180,FALSE,Fulltext
Monday,FALSE,1264,3,FALSE,FALSE,FALSE,10,FALSE,120,FALSE,NA
Monday,FALSE,1274,6,FALSE,FALSE,FALSE,11,FALSE,1080,FALSE,NA
Monday,FALSE,1276,5,FALSE,FALSE,FALSE,11,FALSE,840,FALSE,NA
Monday,FALSE,1277,4,FALSE,FALSE,FALSE,10,FALSE,120,FALSE,NA
Monday,FALSE,1280,8,TRUE,FALSE,TRUE,10,FALSE,540,FALSE,NA
Monday,FALSE,1284,3,TRUE,FALSE,FALSE,10,FALSE,240,FALSE,NA
Monday,FALSE,1285,3,TRUE,FALSE,FALSE,11,FALSE,240,FALSE,NA
Monday,FALSE,1292,9,FALSE,FALSE,FALSE,11,FALSE,780,FALSE,NA
Monday,TRUE,1294,4,FALSE,FALSE,FALSE,11,FALSE,120,FALSE,NA
Monday,FALSE,1295,10,FALSE,FALSE,FALSE,11,FALSE,540,FALSE,Fulltext
Monday,FALSE,1296,3,FALSE,FALSE,FALSE,11,FALSE,660,FALSE,Fulltext
Monday,FALSE,1298,5,FALSE,FALSE,FALSE,11,FALSE,900,FALSE,Catalogue
Monday,FALSE,1299,5,FALSE,FALSE,FALSE,11,FALSE,360,FALSE,Fulltext
Monday,FALSE,1303,8,FALSE,FALSE,FALSE,11,FALSE,840,FALSE,NA
Monday,FALSE,1304,5,FALSE,FALSE,FALSE,11,FALSE,300,FALSE,Fulltext
Monday,FALSE,1305,4,FALSE,FALSE,FALSE,11,FALSE,1020,FALSE,NA
Monday,FALSE,1308,4,FALSE,FALSE,FALSE,11,FALSE,240,FALSE,NA
Monday,FALSE,1313,3,FALSE,FALSE,FALSE,12,FALSE,1020,FALSE,NA
Monday,FALSE,1317,2,FALSE,FALSE,FALSE,11,FALSE,180,FALSE,NA
Monday,FALSE,1319,10,FALSE,FALSE,FALSE,12,FALSE,1860,FALSE,Fulltext
Monday,FALSE,1321,4,FALSE,FALSE,FALSE,12,FALSE,540,FALSE,Fulltext
Monday,FALSE,1323,12,FALSE,FALSE,FALSE,12,FALSE,1200,FALSE,NA
Monday,FALSE,1325,3,FALSE,FALSE,FALSE,12,FALSE,480,FALSE,NA
Monday,FALSE,1328,6,FALSE,FALSE,TRUE,12,FALSE,420,FALSE,NA
Monday,FALSE,1335,5,FALSE,FALSE,FALSE,12,FALSE,300,FALSE,NA
Monday,FALSE,1340,4,FALSE,FALSE,FALSE,12,FALSE,120,FALSE,Partners
Monday,FALSE,1341,5,FALSE,FALSE,FALSE,12,FALSE,180,FALSE,Fulltext
Monday,FALSE,1345,4,FALSE,TRUE,FALSE,12,FALSE,420,FALSE,Partners
Monday,FALSE,1347,4,FALSE,FALSE,FALSE,12,FALSE,180,FALSE,Fulltext
Monday,FALSE,1350,2,FALSE,FALSE,FALSE,13,FALSE,420,FALSE,NA
Monday,FALSE,1352,5,FALSE,FALSE,FALSE,13,FALSE,300,FALSE,Fulltext
Monday,FALSE,1353,4,FALSE,FALSE,FALSE,13,FALSE,120,FALSE,Fulltext
Monday,FALSE,1358,5,FALSE,FALSE,TRUE,13,FALSE,120,FALSE,Fulltext
